angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[795, 230, 259, 341]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[795, 229, 259, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[785, 228, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[785, 228, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[785, 228, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 231, 267, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 231, 267, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 231, 267, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[784, 230, 264, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[784, 230, 264, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 265, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 264, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 231, 264, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 231, 266, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 232, 263, 348]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 266, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 231, 266, 349]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[776, 233, 270, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 232, 267, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 269, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 269, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 234, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 234, 267, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 234, 267, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 234, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 269, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 235, 269, 354]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[779, 235, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 235, 268, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 235, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 235, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 271, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 271, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 271, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 233, 268, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[779, 233, 268, 350]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[781, 233, 267, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 233, 267, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[781, 233, 267, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 233, 265, 352]",0.0,0.0,0.99,0.0,0.0,0.0
